Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
806fd0a | 89 | 1089
806fd10 | 80 | 7080
806fd15 | 74 | 1074
806fd2a | 80 | 7080
806fd2f | 74 | 74
806fd3c | 80 | 7080
806fd41 | 74 | 74
806fd43 | 8b | 408b
806fd47 | a3 | f0a3
806fd4c | 80 | 7080
806fd51 | 74 | 74
806fd53 | 8b | 408b
806fd57 | a3 | a0a3
806fd5c | 80 | 7080
806fd61 | 74 | 74
806fd63 | 8b | 408b
806fd67 | a3 | c0a3
806fd6c | 80 | 7080
806fd71 | 74 | 74
806fd73 | 8b | 408b
806fd77 | a3 | c0a3
806fd7c | 80 | 7080
806fd81 | 74 | 74
806fd83 | 8b | 408b
806fd87 | a3 | c0a3
806fd8c | 83 | f083
806fd8f | 75 | 1075
806fdaf | 83 | c083
806fdb2 | 5b | 505b
806fdb3 | 5e | 505e
806fdb4 | 5f | 505f
806fdb5 | 5d | f05d
806fdb6 | f3 | c0f3
804891f | a1 | 90a1
8048924 | 85 | c085
8048926 | 75 | 4075
804896f | a1 | 10a1
8048974 | 85 | c085
8048976 | 74 | 4074
80489c4 | e8 | e0e8
8070ab0 | 57 | 5057
8070ab1 | 56 | 5056
8070ab2 | 53 | 8053
8070ab3 | 81 | e081
8070ab9 | 8d | 408d
8070abd | 50 | e050
8070abe | e8 | 40e8
8091c10 | 89 | d089
8091c12 | 8b | 508b
8091c16 | b8 | 70b8
8091c1b | ff | 10ff
b777cc28 | 51 | 5051
b777cc29 | 52 | 5052
b777cc2a | 55 | 8055
b777cc2b | 89 | e089
b777cc2d | f | 300f
b777cc31 | 5d | 505d
b777cc32 | 5a | 505a
b777cc33 | 59 | c059
b777cc34 | c3 | c0c3
8091c21 | 89 | d089
8091c23 | 3d | 3d
8091c28 | f | 800f
8091c2e | c3 | 90c3
8070ac3 | 83 | c083
8070ac6 | 85 | c085
8070ac8 | 8d | 908d
8070acf | 75 | 7075
8070ad1 | 31 | f031
8070ad3 | 31 | c031
8070ad5 | f | b00f
8070ad8 | 8d | 508d
8070adb | 80 | f080
8070ade | 77 | 5077
8070ae0 | f | b00f
8070ae4 | 8d | 708d
8070ae7 | 83 | e083
8070aea | 8d | 508d
8070aed | 80 | f080
8070af0 | 77 | 1077
8070b0d | c1 | e0c1
8070b10 | 83 | c083
8070b13 | 8d | 508d
8070b16 | 9 | c009
8070b18 | 80 | f080
8070b1b | 75 | 75
8070b1d | 83 | f083
8070b20 | 75 | b075
8070ad5 | f | b00f
8070ad8 | 8d | 508d
8070adb | 80 | f080
8070ade | 77 | 5077
8070ae0 | f | b00f
8070ae4 | 8d | 708d
8070ae7 | 83 | e083
8070aea | 8d | 508d
8070aed | 80 | f080
8070af0 | 77 | 1077
8070b0d | c1 | e0c1
8070b10 | 83 | c083
8070b13 | 8d | 508d
8070b16 | 9 | c009
8070b18 | 80 | f080
8070b1b | 75 | 75
8070b1d | 83 | f083
8070b20 | 75 | b075
8070ad5 | f | b00f
8070ad8 | 8d | 508d
8070adb | 80 | f080
8070ade | 77 | 5077
8070ae0 | f | b00f
8070ae4 | 8d | 708d
8070ae7 | 83 | e083
8070aea | 8d | 508d
8070aed | 80 | f080
8070af0 | 77 | 1077
8070b0d | c1 | e0c1
8070b10 | 83 | c083
8070b13 | 8d | 508d
8070b16 | 9 | c009
8070b18 | 80 | f080
8070b1b | 75 | 75
8070b2c | 83 | f083
8070b2f | 74 | f074
8070b22 | 81 | c081
8070b28 | 5b | 505b
8070b29 | 5e | 505e
8070b2a | 5f | c05f
8070b2b | c3 | 80c3
80489c9 | 85 | c085
80489cb | f | 800f
80489d1 | 8b | 108b
80489d7 | 85 | d085
80489d9 | f | 800f
80489df | a3 | c0a3
80489e4 | 3d | 103d
80489e9 | 7f | 807f
8048978 | b8 | 30b8
804897d | 3d | a03d
8048982 | 73 | 7073
8048984 | 80 | 3080
804898b | 8b | 308b
8048991 | bb | 30bb
8048996 | 75 | 1075
8048998 | 90 | 8090
8048999 | 8d | b08d
80489a0 | 83 | c083
80489a3 | ff | 10ff
805b2a0 | 8d | 8d
805b2a6 | f7 | f7
805b2b0 | 74 | 1074
805b2b2 | 8d | 8d
805b2b8 | f7 | f7
805b2c2 | 74 | 74
805b2ca | c3 | 90c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
80b3360 | 8d | 8d
80b3366 | f7 | f7
80b3370 | 74 | 2074
80b3372 | 8d | 8d
80b3378 | f7 | f7
80b3382 | 74 | 1074
80b3384 | f7 | f7
80b338e | 75 | 75
80b3390 | 8d | 8d
80b3396 | c3 | 60c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805b490 | 8d | 8d
805b496 | f7 | f7
805b4a0 | 74 | 2074
805b4a2 | 8d | 8d
805b4a8 | f7 | f7
805b4b2 | 74 | 1074
805b4b4 | f7 | f7
805b4be | 75 | 75
805b4c0 | 8d | 8d
805b4c6 | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c5f0 | 8d | 8d
805c5f6 | f7 | f7
805c600 | 74 | 1074
805c602 | 8d | 8d
805c608 | f7 | f7
805c612 | 74 | 74
805c614 | 8d | 8d
805c61a | c3 | 90c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
